Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555653869	-275.1644897	-26.71121216	0.704225922	1.405298201				
0.555653938	-274.7552795	-36.95479584	0.704225922	1.405298201				
0.555654007	-278.1654663	-34.71167755	0.704225922	1.405298201				
0.555654077	-278.1654663	-25.73919678	0.704225922	1.405298201				
0.555654146	-273.3912354	-35.83323669	0.704225922	1.405298201				
0.555654216	-268.9580078	-27.98231506	0.704225922	1.405298201				
0.555654285	-267.2528992	-28.43094063	0.705785893	1.408451845				
0.555654354	-273.6185608	-17.58919334	0.705785893	1.408451845				
0.555654424	-271.9589539	-26.41213226	0.706220245	1.411571786				
0.555654493	-265.0021973	-29.55250168	0.706220245	1.411571786				
0.555654563	-269.2990112	-38.07635498	0.706220245	1.411571786				
0.555654632	-266.9118958	-22.37452126	0.706220245	1.411571786				
0.555654701	-262.1376343	-33.59011841	0.706220245	1.411571786				
0.555654771	-266.2298584	-21.25296021	0.706220245	1.411571786				
0.55565484	-264.1837463	-31.3469944	0.706220245	1.411571786				
0.55565491	-259.1821594	-24.54286957	0.707569769	1.412440491				
0.555654979	-259.8641663	-11.53277397	0.707569769	1.412440491				
0.555655048	-255.8401794	-2.036900044	0.707179963	1.415139538				
0.555655118	-253.9532318	-21.25295639	0.707179963	1.415139538				
0.555655187	-260.0915527	-20.13139915	0.707179963	1.415139538				
0.555655257	-255.6582947	-17.88827705	0.707179963	1.415139538				
0.555655326	-253.6121979	-32.46855545	0.707179963	1.415139538				
0.555655395	-249.519989	-25.73920059	0.707179963	1.415139538				
0.555655465	-250.2020264	-2.186442137	0.707179963	1.415139538				
0.555655534	-251.2250824	-18.26213264	0.702554354	1.414359925				
0.555655604	-248.9743652	-20.35571289	0.701738931	1.405108709				
0.555655673	-245.6778564	7.683282852	0.701738931	1.405108709				
0.555655742	-247.132843	-2.186450243	0.701738931	1.405108709				
0.555655812	-245.4277649	0.056680128	0.701738931	1.405108709				
0.555655881	-242.3586121	-3.308003187	0.701738931	1.405108709				
0.555655951	-245.7687836	0.056680128	0.701738931	1.405108709				
0.55565602	-240.6535034	0.056671925	0.701738931	1.405108709				
0.55565609	-244.5411224	9.477778435	0.698494619	1.403477861				
0.555656159	-238.9711456	31.90896797	0.698494619	1.403477861				
0.555656228	-240.2670288	199.6195679	0.697509533	1.396989238				
0.555656298	-237.1296844	2415.148682	0.697509533	1.396989238				
0.555656367	-237.5843811	287.1759949	0.697509533	1.396989238				
0.555656436	-233.8331604	347.7402039	0.697509533	1.396989238				
0.555656506	-241.3355713	245.6782837	0.697509533	1.396989238				
0.555656575	-257.7044067	48.28375244	0.697509533	1.396989238				
0.555656645	-287.0319824	401.5751038	0.697509533	1.396989238				
0.555656714	-321.7475586	300.1860657	0.694912547	1.395019066				
0.555656784	-348.4151611	219.8824005	0.694912547	1.395019066				
0.555656853	-370.9223328	289.4190979	0.695355413	1.389825094				
0.555656922	-382.5169373	216.5177307	0.695355413	1.389825094				
0.555656992	-382.8579712	269.2310181	0.695355413	1.389825094				
0.555657061	-383.1989746	292.783783	0.695355413	1.389825094				
0.555657131	-378.4246826	245.6782837	0.695355413	1.389825094				
0.5556572	-362.737915	238.9489136	0.695355413	1.389825094				
0.555657269	-345.0049438	52.76998901	0.695355413	1.389825094				
0.555657339	-326.3626709	-63.27406693	0.697972433	1.390710826				
0.555657408	-314.9953918	-80.69562531	0.698197472	1.395944867				
0.555657478	-321.474762	-94.15434265	0.698197472	1.395944867				
0.555657547	-328.6361084	-91.91122437	0.698197472	1.395944867				
0.555657616	-329.6591797	-72.8447113	0.698197472	1.395944867				
0.555657686	-336.8205261	-78.45250702	0.698197472	1.395944867				
0.555657755	-341.9358215	-72.8447113	0.698197472	1.395944867				
0.555657825	-344.6639099	-78.45250702	0.698197472	1.395944867				
0.555657894	-348.7561951	-67.23690796	0.700087803	1.396394945				
0.555657963	-346.0279846	-78.45250702	0.700087803	1.396394945				
0.555658033	-337.8435974	-90.78966522	0.700622257	1.400175607				
0.555658102	-330.6822205	-82.93874359	0.700622257	1.400175607				
0.555658172	-325.9079895	-85.18186188	0.700622257	1.400175607				
0.555658241	-317.0415039	-85.18186951	0.700622257	1.400175607				
0.55565831	-311.5852356	-80.69562531	0.700622257	1.400175607				
0.55565838	-310.5621643	-93.03278351	0.700622257	1.400175607				
0.555658449	-309.880127	-75.08782959	0.700622257	1.400175607				
0.555658519	-313.1993713	-75.23736572	0.702075878	1.401244514				
0.555658588	-313.4039612	-83.31259918	0.702075878	1.401244514				
0.555658657	-317.7235413	-67.23690796	0.702493031	1.404151757				
0.555658727	-322.8388062	-64.99378967	0.702493031	1.404151757				
0.555658796	-320.4516907	-81.81718445	0.702493031	1.404151757				
0.555658866	-323.1798401	-72.8447113	0.702493031	1.404151757				
0.555658935	-315.3364563	-54.89974976	0.702493031	1.404151757				
0.555659004	-306.8109436	-69.40525818	0.702493031	1.404151757				
0.555659074	-300.7181396	-58.8625946	0.702493031	1.404151757				
0.555659143	-308.4478455	-55.57268524	0.704216161	1.404986061				
0.555659213	-306.1289368	-58.86259842	0.704645423	1.408432322				
0.555659282	-294.3751831	-49.06764221	0.704645423	1.408432322				
0.555659351	-293.8750305	-47.79653931	0.704645423	1.408432322				
0.555659421	-298.5583496	-49.0676384	0.704645423	1.408432322				
0.55565949	-302.10495	-53.85296249	0.704645423	1.408432322				
0.55565956	-296.9441833	-33.66488647	0.704645423	1.408432322				
0.555659629	-293.5112915	-31.3469944	0.704645423	1.408432322				
