Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6675769421	-341.4342956543	-5.8676853180	0.1287497933	0.7994407169
0.6675770115	-341.2978515625	1.0859822035	0.1287497933	0.7994407169
0.6675770809	-336.5236206055	-0.0355788805	0.1287497933	0.7994407169
0.6675771503	-336.6827697754	-7.4378724098	0.1269290072	0.7724987597
0.6675772197	-337.2056579590	13.4231424332	0.1269290072	0.7724987597
0.6675772891	-350.8463745117	4.4506616592	0.1269290072	0.7724987597
0.6675773585	-367.8972473145	-17.9805316925	0.1269290072	0.7724987597
0.6675774280	-384.6071472168	-14.6158533096	0.1269290072	0.7724987597
0.6675774974	-396.2017822266	-5.6433720589	0.1269290072	0.7724987597
0.6675775667	-405.1818542480	-5.7929182053	0.1250862771	0.7615740430
0.6675776361	-408.8193969727	4.4506654739	0.1250862771	0.7615740430
0.6675777055	-415.2987365723	-9.0080518723	0.1259329849	0.7505176629
0.6675777750	-408.1373596191	14.5447015762	0.1259329849	0.7505176629
0.6675778443	-410.1834716797	-3.4002540112	0.1259329849	0.7505176629
0.6675779137	-408.1373596191	-6.7649331093	0.1259329849	0.7505176629
0.6675779832	-405.9776000977	1.4598373175	0.1259329849	0.7505176629
0.6675780526	-398.2478332520	6.6937837601	0.1259329849	0.7505176629
0.6675781220	-396.8156127930	4.8992834091	0.1279530931	0.7555979092
0.6675781914	-401.2488403320	-10.8025474548	0.1279530931	0.7555979092
0.6675782608	-401.9990539551	15.6662626266	0.1279530931	0.7555979092
0.6675783302	-393.8146057129	3.3291044235	0.1289235561	0.7677185589
0.6675783996	-393.4736328125	-11.2511739731	0.1289235561	0.7677185589
0.6675784690	-391.7685241699	-10.1296081543	0.1289235561	0.7677185589
0.6675785384	-391.7684936523	-0.0355747789	0.1289235561	0.7677185589
0.6675786078	-387.6763000488	19.0309391022	0.1289235561	0.7677185589
0.6675786772	-389.0403747559	7.8153448105	0.1289235561	0.7677185589
0.6675787466	-386.8351440430	-2.6525480747	0.1307197612	0.7735413366
0.6675788160	-385.4028320313	10.8061695099	0.1307197612	0.7735413366
0.6675788854	-384.6071472168	12.3015851974	0.1307197612	0.7735413366
0.6675789548	-380.5149230957	13.4231443405	0.1316758362	0.7843185671
0.6675790242	-384.6071472168	-4.5218110085	0.1316758362	0.7843185671
0.6675790936	-383.5841064453	-6.7649331093	0.1316758362	0.7843185671
0.6675791630	-381.8789978027	-1.1571359634	0.1316758362	0.7843185671
0.6675792324	-378.8098449707	6.6937794685	0.1316758362	0.7843185671
0.6675793018	-376.4227294922	-0.0355747789	0.1316758362	0.7843185671
0.6675793712	-375.4678649902	-3.9236471653	0.1336385880	0.7900550173
0.6675794406	-372.6715087891	-6.7649331093	0.1336385880	0.7900550173
0.6675795100	-376.0816955566	-11.2511739731	0.1336385880	0.7900550173
0.6675795794	-371.6484680176	11.1800241470	0.1336385880	0.7900550173
0.6675796488	-375.3996582031	2.2075433731	0.1336385880	0.7900550173
0.6675797182	-369.0340270996	-1.1571359634	0.1336385880	0.7900550173
0.6675797876	-369.0340270996	-12.3727312088	0.1357359559	0.8018315279
0.6675798570	-370.9664611816	1.0859863758	0.1357359559	0.8018315279
